Department,Work Group,Asset Name,Total Count,Count,Rejects,Total Downtime,Fault Count,MTTR,MTBF,Total Uptime,Total Time,Total Breaks,Total Working Time,Production Goal,Production Rate,Planned Rate,Product,Productivity OEE,Availability OEE,Quality OEE,OEE,Shift Number,Start Date,End Date,ScheduleID
100D,Ensamble 100D,Bench 100D,73,73,0,49,52,0,9,431,480,0,431,157,10.16,19.63,54,0.52,0.897916667,1,0.466916667,1,4/22/2022,4/22/2022,31291
100D,Ensamble 100D,Bench 100D,61,61,0,7,5,1,71,352,359,0,352,0,10.4,0,0,0,0.980501393,1,0,2,4/22/2022,4/22/2022,33024
100D,Ensamble 100D,Bench 100D,123,123,0,22,73,0,8,578,600,0,578,157,12.77,15.7,0,0.81,0.963333333,1,0.7803,1,4/25/2022,4/25/2022,31294
100D,Ensamble 100D,Bench 100D,109,109,0,15,24,0,22,524,539,0,524,148,12.48,16.47,0,0.76,0.972170686,1,0.738849722,2,4/25/2022,4/26/2022,31176
100D,Ensamble 100D,Bench 100D,91,91,0,10,50,0,12,590,600,0,590,157,9.25,15.7,0,0.59,0.983333333,1,0.580166667,1,4/26/2022,4/26/2022,31295
100D,Ensamble 100D,Bench 100D,117,117,0,50,61,0,8,489,539,0,489,148,14.36,16.47,0,0.87,0.907235622,1,0.789294991,2,4/26/2022,4/27/2022,31177
100D,Ensamble 100D,Bench 100D,128,128,0,25,43,0,13,575,600,0,575,157,13.36,15.7,0,0.85,0.958333333,1,0.814583333,1,4/27/2022,4/27/2022,31296
100D,Ensamble 100D,Bench 100D,118,118,0,22,77,0,7,517,539,0,517,148,13.69,16.47,0,0.83,0.959183673,1,0.796122449,2,4/27/2022,4/28/2022,31178
100D,Ensamble 100D,Bench 100D,112,112,0,16,22,0,27,584,600,0,584,157,11.51,15.7,0,0.73,0.973333333,1,0.710533333,1,4/28/2022,4/28/2022,31297
100D,Ensamble 100D,Bench 100D,75,75,0,54,95,0,5,485,539,0,485,148,9.28,16.47,0,0.56,0.899814471,1,0.503896104,2,4/28/2022,4/29/2022,31179
100D,Ensamble 100D,Bench 100D,54,54,0,4,32,0,15,476,480,0,476,157,6.81,19.63,0,0.35,0.991666667,1,0.347083333,1,4/29/2022,4/29/2022,31298
100D,Ensamble 100D,Bench 100D,71,71,0,60,20,3,17,299,359,0,299,0,14.25,0,0,0,0.832869081,1,0,2,4/29/2022,4/29/2022,33025
100D,Ensamble 100D,Bench 100D,112,112,0,50,39,1,15,550,600,0,550,157,12.22,15.7,0,0.78,0.916666667,1,0.715,1,5/2/2022,5/2/2022,31301
100D,Ensamble 100D,Bench 100D,68,68,0,18,48,0,17,820,838,0,820,148,4.98,10.6,0,0.47,0.978520286,1,0.459904535,2,5/2/2022,5/3/2022,31183
100D,Ensamble 100D,Bench 100D,132,132,0,22,90,0,6,578,600,0,578,157,13.7,15.7,0,0.87,0.963333333,1,0.8381,1,5/3/2022,5/3/2022,31302
100D,Ensamble 100D,Bench 100D,175,175,0,37,68,0,12,801,838,0,801,148,13.11,10.6,0,1.24,0.955847255,1,1.185250597,2,5/3/2022,5/4/2022,31184
100D,Ensamble 100D,Bench 100D,107,107,0,19,45,0,12,521,540,0,521,157,12.32,17.44,0,0.71,0.964814815,1,0.685018519,1,5/4/2022,5/4/2022,31303
100D,Ensamble 100D,Bench 100D,131,131,0,25,27,0,28,754,779,0,754,148,10.42,11.4,0,0.91,0.967907574,1,0.880795892,2,5/4/2022,5/5/2022,31185
100D,Ensamble 100D,Bench 100D,65,65,0,66,46,1,13,534,600,0,534,157,7.3,15.7,0,0.47,0.89,1,0.4183,1,5/5/2022,5/5/2022,31304
100D,Ensamble 100D,Bench 100D,105,105,0,15,10,1,53,524,539,0,524,148,12.02,16.47,0,0.73,0.972170686,1,0.709684601,2,5/5/2022,5/6/2022,31186
100D,Ensamble 100D,Bench 100D,68,68,0,106,46,2,10,374,480,0,374,0,10.91,0,0,0,0.779166667,1,0,1,5/6/2022,5/6/2022,33045
100D,Ensamble 100D,Bench 100D,65,65,0,23,28,0,12,336,359,0,336,0,11.61,0,0,0,0.935933148,1,0,2,5/6/2022,5/6/2022,33046
100D,Ensamble 100D,Bench 100D,0,0,0,0,0,0,0,360,360,0,360,95,0,15.83,0,0,1,1,0,1,5/7/2022,5/7/2022,34372
100D,Ensamble 100D,Bench 100D,76,76,0,24,54,0,11,576,600,0,576,157,7.92,15.7,0,0.5,0.96,1,0.48,1,5/9/2022,5/9/2022,31308
100D,Ensamble 100D,Bench 100D,171,171,0,94,83,1,10,744,838,0,744,148,13.79,10.6,0,1.3,0.887828162,1,1.154176611,2,5/9/2022,5/10/2022,31190
100D,Ensamble 100D,Bench 100D,120,120,0,16,123,0,4,584,600,0,584,157,12.33,15.7,0,0.79,0.973333333,1,0.768933333,1,5/10/2022,5/10/2022,31309
100D,Ensamble 100D,Bench 100D,104,104,0,24,72,0,11,814,838,0,814,148,7.67,10.6,0,0.72,0.971360382,1,0.699379475,2,5/10/2022,5/11/2022,31191
100D,Ensamble 100D,Bench 100D,62,62,0,21,39,0,13,519,540,0,519,157,7.17,17.44,0,0.41,0.961111111,1,0.394055556,1,5/11/2022,5/11/2022,31310
100D,Ensamble 100D,Bench 100D,169,169,0,142,100,1,8,696,838,0,696,148,14.57,10.6,0,1.37,0.830548926,1,1.137852029,2,5/11/2022,5/12/2022,31192
100D,Ensamble 100D,Bench 100D,139,139,0,34,62,0,9,566,600,0,566,157,14.73,15.7,0,0.94,0.943333333,1,0.886733333,1,5/12/2022,5/12/2022,31311
100D,Ensamble 100D,Bench 100D,112,112,0,75,75,1,7,464,539,0,464,148,14.48,16.47,0,0.88,0.860853432,1,0.75755102,2,5/12/2022,5/13/2022,31193
100D,Ensamble 100D,Bench 100D,103,103,0,45,48,0,10,435,480,0,435,0,14.21,0,0,0,0.90625,1,0,1,5/13/2022,5/13/2022,33125
100D,Ensamble 100D,Bench 100D,53,53,0,45,43,1,8,314,359,0,314,0,10.13,0,0,0,0.874651811,1,0,2,5/13/2022,5/13/2022,33126
100D,Ensamble 100D,Bench 100D,65,65,0,67,38,1,11,353,420,0,353,113,11.05,16.14,0,0.68,0.84047619,1,0.57152381,1,5/14/2022,5/14/2022,34371
100D,Ensamble 100D,Bench 100D,194,194,0,61,135,0,6,778,839,0,778,148,14.96,10.58,0,1.41,0.927294398,1,1.307485101,2,5/16/2022,5/17/2022,31197
100D,Ensamble 100D,Bench 100D,190,190,0,12,57,0,14,827,839,0,827,148,13.78,10.58,0,1.3,0.985697259,1,1.281406436,2,5/17/2022,5/18/2022,31198
100D,Ensamble 100D,Bench 100D,166,166,0,144,119,1,7,695,839,0,695,148,14.33,10.58,0,1.35,0.828367104,1,1.11829559,2,5/18/2022,5/19/2022,31199
100D,Ensamble 100D,Bench 100D,80,80,0,43,72,0,7,496,539,0,496,148,9.68,16.47,0,0.59,0.920222635,1,0.542931354,2,5/19/2022,5/20/2022,31200
100D,Ensamble 100D,Bench 100D,64,64,0,28,49,0,7,331,359,0,331,0,11.6,0,0,0,0.922005571,1,0,2,5/20/2022,5/20/2022,33050
100D,Ensamble 100D,Bench 100D,80,80,0,48,120,0,6,791,839,0,791,148,6.07,10.58,0,0.57,0.942789035,1,0.53738975,2,5/23/2022,5/24/2022,31204
100D,Ensamble 100D,Bench 100D,133,133,0,50,139,0,6,789,839,0,789,148,10.11,10.58,0,0.96,0.940405244,1,0.902789035,2,5/24/2022,5/25/2022,33349
100D,Ensamble 100D,Bench 100D,148,148,0,25,157,0,5,814,839,0,814,148,10.91,10.58,0,1.03,0.970202622,1,0.999308701,2,5/25/2022,5/26/2022,31206
100D,Ensamble 100D,Bench 100D,89,89,0,20,64,0,8,519,539,0,519,148,10.29,16.47,0,0.62,0.962894249,1,0.596994434,2,5/26/2022,5/27/2022,31207
100D,Ensamble 100D,Bench 100D,58,58,0,101,30,3,11,258,359,0,258,0,13.49,0,0,0,0.718662953,1,0,2,5/27/2022,5/27/2022,33052
100D,Ensamble 100D,Bench 100D,222,222,0,5,82,0,7,595,600,0,595,167,22.39,16.7,0,1.34,0.991666667,1,1.328833333,1,5/30/2022,5/30/2022,34361
100D,Ensamble 100D,Bench 100D,138,138,0,12,82,0,7,588,600,0,588,167,14.08,16.7,0,0.84,0.98,1,0.8232,1,5/31/2022,5/31/2022,34362
100D,Ensamble 100D,Bench 100D,118,118,0,29,154,0,3,571,600,0,571,167,12.4,16.7,0,0.74,0.951666667,1,0.704233333,1,6/1/2022,6/1/2022,34363
100D,Ensamble 100D,Bench 100D,138,138,0,52,210,0,2,548,600,0,548,167,15.11,16.7,0,0.9,0.913333333,1,0.822,1,6/2/2022,6/2/2022,34364
100D,Ensamble 100D,Bench 100D,164,164,0,31,80,0,6,449,480,0,449,167,21.92,20.88,0,1.05,0.935416667,1,0.9821875,1,6/3/2022,6/3/2022,34365
100D,Ensamble 100D,Bench 100D,92,92,0,10,55,0,9,530,540,0,530,149,10.42,16.56,0,0.63,0.981481481,1,0.618333333,1,6/4/2022,6/4/2022,34379
100D,Ensamble 100D,Bench 100D,113,113,0,15,50,0,16,825,840,0,825,149,8.22,10.64,0,0.77,0.982142857,1,0.75625,2,6/6/2022,6/7/2022,34374
100D,Ensamble 100D,Bench 100D,143,143,0,28,86,0,9,812,840,0,812,149,10.57,10.64,0,0.99,0.966666667,1,0.957,2,6/7/2022,6/8/2022,34375
100D,Ensamble 100D,Bench 100D,90,90,0,143,113,1,7,697,840,0,697,149,7.75,10.64,0,0.73,0.829761905,1,0.60572619,2,6/8/2022,6/9/2022,34376
100D,Ensamble 100D,Bench 100D,84,84,0,8,53,0,10,532,540,0,532,149,9.47,16.56,0,0.57,0.985185185,1,0.561555556,2,6/9/2022,6/10/2022,34377
100D,Ensamble 100D,Bench 100D,30,30,0,20,57,0,6,340,360,0,340,95,5.29,15.83,0,0.33,0.944444444,1,0.311666667,2,6/10/2022,6/10/2022,34378
100D,Ensamble 100D,Bench 100D,164,164,0,13,87,0,9,827,840,0,827,185,11.9,13.21,0,0.9,0.98452381,1,0.886071429,2,6/13/2022,6/14/2022,34498
100D,Ensamble 100D,Bench 100D,202,202,0,34,65,0,12,806,840,0,806,185,15.04,13.21,0,1.14,0.95952381,1,1.093857143,2,6/14/2022,6/15/2022,34499
100D,Ensamble 100D,Bench 100D,104,104,0,14,50,0,16,826,840,0,826,185,7.55,13.21,0,0.57,0.983333333,1,0.5605,2,6/15/2022,6/16/2022,34500
100D,Ensamble 100D,Bench 100D,102,102,0,56,66,0,8,484,540,0,484,185,12.64,20.56,0,0.62,0.896296296,1,0.555703704,2,6/16/2022,6/17/2022,34501
100D,Ensamble 100D,Bench 100D,31,31,0,49,57,0,6,311,360,0,311,620,5.98,103.33,0,0.06,0.863888889,1,0.051833333,2,6/17/2022,6/17/2022,34841
100D,Ensamble 100D,Bench 100D,110,110,0,330,102,3,8,510,840,0,510,185,12.94,13.21,0,0.98,0.607142857,1,0.595,2,6/20/2022,6/21/2022,34505
100D,Ensamble 100D,Bench 100D,152,152,0,42,87,0,9,798,840,0,798,185,11.43,13.21,0,0.86,0.95,1,0.817,2,6/21/2022,6/22/2022,34506
100D,Ensamble 100D,Bench 100D,146,146,0,245,81,3,10,595,840,0,595,185,14.72,13.21,0,1.11,0.708333333,1,0.78625,2,6/22/2022,6/23/2022,34507
100D,Ensamble 100D,Bench 100D,102,102,0,70,60,1,9,470,540,0,470,185,13.02,20.56,0,0.63,0.87037037,1,0.548333333,2,6/23/2022,6/24/2022,34508
100D,Ensamble 100D,Bench 100D,55,55,0,39,42,0,8,321,360,0,321,95,10.28,15.83,0,0.65,0.891666667,1,0.579583333,2,6/24/2022,6/24/2022,34840
100D,Ensamble 100D,Bench 100D,69,69,0,351,47,7,17,489,840,0,489,185,8.47,13.21,0,0.64,0.582142857,1,0.372571429,2,6/27/2022,6/28/2022,34512
100D,Ensamble 100D,Bench 100D,99,99,0,20,73,0,11,820,840,0,820,185,7.24,13.21,0,0.55,0.976190476,1,0.536904762,2,6/28/2022,6/29/2022,34513
100D,Ensamble 100D,Bench 100D,87,87,0,456,54,8,15,384,840,0,384,185,13.59,13.21,0,1.03,0.457142857,1,0.470857143,2,6/29/2022,6/30/2022,34514
100D,Ensamble 100D,Bench 100D,47,47,0,211,58,3,9,329,540,0,329,185,8.57,20.56,0,0.42,0.609259259,1,0.255888889,2,6/30/2022,7/1/2022,34842
100D,Ensamble 100D,Bench 100D,0,0,0,0,0,0,0,360,360,0,360,95,0,15.83,0,0,1,1,0,2,7/1/2022,7/1/2022,34843
100D,Ensamble 100D,Bench 100D,29,29,0,60,24,2,34,779,839,0,779,148,2.23,10.58,0,0.21,0.928486293,1,0.194982122,2,7/4/2022,7/5/2022,31246
100D,Ensamble 100D,Bench 100D,11,11,0,64,6,10,139,775,839,0,775,148,0.85,10.58,0,0.08,0.923718713,1,0.073897497,2,7/5/2022,7/6/2022,31247
100D,Ensamble 100D,Bench 100D,101,101,0,74,79,0,10,765,839,0,765,148,7.92,10.58,0,0.75,0.911799762,1,0.683849821,2,7/6/2022,7/7/2022,31248
100D,Ensamble 100D,Bench 100D,136,136,0,17,73,0,7,522,539,0,522,148,15.63,16.47,0,0.95,0.968460111,1,0.920037106,2,7/7/2022,7/8/2022,31249
100D,Ensamble 100D,Bench 100D,70,70,0,10,45,0,8,350,360,0,350,95,12,15.83,0,0.76,0.972222222,1,0.738888889,2,7/8/2022,7/8/2022,35405
100D,Ensamble 100D,Bench 100D,0,0,0,0,0,0,0,539,539,0,539,148,0,16.47,0,0,1,1,0,2,7/11/2022,7/12/2022,31253
100D,Ensamble 100D,Bench 100D,68,68,0,34,64,0,8,505,539,0,505,148,8.08,16.47,0,0.49,0.936920223,1,0.459090909,2,7/12/2022,7/13/2022,31254
100D,Ensamble 100D,Bench 100D,81,81,0,44,81,0,6,495,539,0,495,148,9.82,16.47,0,0.6,0.918367347,1,0.551020408,2,7/13/2022,7/14/2022,31255
100D,Ensamble 100D,Bench 100D,72,72,0,15,64,0,8,524,539,0,524,148,8.24,16.47,0,0.5,0.972170686,1,0.486085343,2,7/14/2022,7/15/2022,31256
100D,Ensamble 100D,Bench 100D,42,42,0,16,44,0,8,344,360,0,344,95,7.33,15.83,0,0.46,0.955555556,1,0.439555556,2,7/15/2022,7/15/2022,35406
100D,Ensamble 100D,Bench 100D,4,4,0,4,16,0,33,535,539,0,535,148,0.45,16.47,0,0.03,0.99257885,1,0.029777365,2,7/18/2022,7/19/2022,31260
100D,Ensamble 100D,Bench 100D,57,57,0,4,13,0,41,535,539,0,535,148,6.39,16.47,0,0.39,0.99257885,1,0.387105751,2,7/19/2022,7/20/2022,31261
100D,Ensamble 100D,Bench 100D,0,0,0,539,0,0,0,0,539,0,0,148,0,16.47,0,0,0,1,0,2,7/20/2022,7/21/2022,31262
100D,Ensamble 100D,Bench 100D,54,54,0,29,77,0,7,510,539,0,510,148,6.35,16.47,0,0.39,0.94619666,1,0.369016698,2,7/21/2022,7/22/2022,31263
100D,Ensamble 100D,Bench 100D,47,47,0,35,44,0,8,325,360,0,325,95,8.68,15.83,0,0.55,0.902777778,1,0.496527778,2,7/22/2022,7/22/2022,35407
100D,Ensamble 100D,Bench 100D,74,74,0,44,29,1,20,556,600,0,556,167,7.99,16.7,0,0.48,0.926666667,1,0.4448,1,8/1/2022,8/1/2022,35299
100D,Ensamble 100D,Bench 100D,100,100,0,46,77,0,7,554,600,0,554,167,10.83,16.7,0,0.65,0.923333333,1,0.600166667,1,8/2/2022,8/2/2022,35300
100D,Ensamble 100D,Bench 100D,151,151,0,55,37,1,16,545,600,0,545,167,16.62,16.7,0,1,0.908333333,1,0.908333333,1,8/3/2022,8/3/2022,36544
100D,Ensamble 100D,Bench 100D,129,129,0,20,51,0,11,580,600,0,580,167,13.34,16.7,0,0.8,0.966666667,1,0.773333333,1,8/4/2022,8/4/2022,35302
100D,Ensamble 100D,Bench 100D,74,74,0,70,98,0,4,410,480,0,410,167,10.83,20.88,0,0.52,0.854166667,1,0.444166667,1,8/5/2022,8/5/2022,35303
100D,Ensamble 100D,Bench 100D,69,69,0,61,101,0,5,539,600,0,539,167,7.68,16.7,0,0.46,0.898333333,1,0.413233333,1,8/8/2022,8/8/2022,35306
100D,Ensamble 100D,Bench 100D,115,115,0,24,62,0,9,576,600,0,576,167,11.98,16.7,0,0.72,0.96,1,0.6912,1,8/9/2022,8/9/2022,35307
100D,Ensamble 100D,Bench 100D,105,105,0,46,54,0,11,554,600,0,554,167,11.37,16.7,0,0.68,0.923333333,1,0.627866667,1,8/10/2022,8/10/2022,35308
100D,Ensamble 100D,Bench 100D,110,110,0,61,63,0,9,539,600,0,539,167,12.24,16.7,0,0.73,0.898333333,1,0.655783333,1,8/11/2022,8/11/2022,35309
100D,Ensamble 100D,Bench 100D,44,44,0,65,39,1,12,415,480,0,415,167,6.36,20.88,0,0.3,0.864583333,1,0.259375,1,8/12/2022,8/12/2022,35310
100D,Ensamble 100D,Bench 100D,92,92,0,24,29,0,20,576,600,0,576,167,9.58,16.7,0,0.57,0.96,1,0.5472,1,8/15/2022,8/15/2022,35313
100D,Ensamble 100D,Bench 100D,50,50,0,73,78,0,6,467,540,0,467,0,6.42,0,0,0,0.864814815,1,0,2,8/15/2022,8/16/2022,36551
100D,Ensamble 100D,Bench 100D,72,72,0,26,90,0,6,574,600,0,574,167,7.53,16.7,0,0.45,0.956666667,1,0.4305,1,8/16/2022,8/16/2022,35314
100D,Ensamble 100D,Bench 100D,80,80,0,138,84,1,9,701,839,0,701,0,6.85,0,0,0,0.835518474,1,0,2,8/16/2022,8/17/2022,36552
100D,Ensamble 100D,Bench 100D,104,104,0,35,71,0,8,565,600,0,565,167,11.04,16.7,40.5,0.66,0.941666667,1,0.6215,1,8/17/2022,8/17/2022,36553
100D,Ensamble 100D,Bench 100D,113,113,0,268,84,3,9,571,839,0,571,0,11.87,0,0,0,0.68057211,1,0,2,8/17/2022,8/18/2022,36554
100D,Ensamble 100D,Bench 100D,73,73,0,49,90,0,6,551,600,0,551,167,7.95,16.7,0,0.48,0.918333333,1,0.4408,1,8/18/2022,8/18/2022,35316
100D,Ensamble 100D,Bench 100D,80,80,0,34,36,0,13,446,480,0,446,0,10.76,0,0,0,0.929166667,1,0,2,8/18/2022,8/19/2022,36555
100D,Ensamble 100D,Bench 100D,69,69,0,27,12,2,40,453,480,0,453,167,9.14,20.88,0,0.44,0.94375,1,0.41525,1,8/19/2022,8/19/2022,35317
100D,Ensamble 100D,Bench 100D,67,67,0,91,26,3,13,268,359,0,268,0,15,0,0,0,0.746518106,1,0,2,8/19/2022,8/19/2022,36556
100D,Ensamble 100D,Bench 100D,106,106,0,42,128,0,5,678,720,0,678,167,9.38,13.92,0,0.67,0.941666667,1,0.630916667,1,8/22/2022,8/22/2022,35320
100D,Ensamble 100D,Bench 100D,94,94,0,60,55,1,10,540,600,0,540,167,10.44,16.7,0,0.63,0.9,1,0.567,1,8/23/2022,8/23/2022,35321
100D,Ensamble 100D,Bench 100D,77,77,0,40,55,0,10,560,600,0,560,167,8.25,16.7,0,0.49,0.933333333,1,0.457333333,1,8/24/2022,8/24/2022,35322
100D,Ensamble 100D,Bench 100D,71,71,0,71,26,2,18,408,479,0,408,0,10.44,0,0,0,0.85177453,1,0,2,8/24/2022,8/25/2022,36557
100D,Ensamble 100D,Bench 100D,104,104,0,56,58,0,10,544,600,0,544,167,11.47,16.7,0,0.69,0.906666667,1,0.6256,1,8/25/2022,8/25/2022,35323
100D,Ensamble 100D,Bench 100D,27,27,0,7,42,0,2,113,120,0,113,0,14.34,0,0,0,0.941666667,1,0,2,8/26/2022,8/26/2022,36558
100D,Ensamble 100D,Bench 100D,113,113,0,4,27,0,22,596,600,0,596,167,11.38,16.7,0,0.68,0.993333333,1,0.675466667,1,8/29/2022,8/29/2022,35327
100D,Ensamble 100D,Bench 100D,70,70,0,7,47,0,12,593,600,0,593,167,7.08,16.7,0,0.42,0.988333333,1,0.4151,1,8/30/2022,8/30/2022,35328
100D,Ensamble 100D,Bench 100D,87,87,0,183,27,6,22,417,600,0,417,167,12.52,16.7,0,0.75,0.695,1,0.52125,1,9/1/2022,9/1/2022,35330
100D,Ensamble 100D,Bench 100D,29,29,0,40,19,2,25,440,480,0,440,167,3.95,20.88,0,0.19,0.916666667,1,0.174166667,1,9/2/2022,9/2/2022,35331
100D,Ensamble 100D,Bench 100D,127,127,0,20,63,0,8,520,540,0,520,239,14.65,26.56,0,0.55,0.962962963,1,0.52962963,2,9/5/2022,9/6/2022,36570
100D,Ensamble 100D,Bench 100D,121,121,0,9,80,0,8,651,660,0,651,239,11.15,21.73,0,0.51,0.986363636,1,0.503045455,2,9/6/2022,9/7/2022,36571
100D,Ensamble 100D,Bench 100D,84,84,0,59,84,0,6,481,540,0,481,239,10.48,26.56,0,0.39,0.890740741,1,0.347388889,2,9/7/2022,9/8/2022,36572
100D,Ensamble 100D,Bench 100D,98,98,0,22,88,0,6,518,540,0,518,239,11.35,26.56,0,0.43,0.959259259,1,0.412481481,2,9/8/2022,9/9/2022,36573
100D,Ensamble 100D,Bench 100D,64,64,0,14,55,0,6,346,360,0,346,95,11.1,15.83,0,0.7,0.961111111,1,0.672777778,2,9/9/2022,9/9/2022,36574
100D,Ensamble 100D,Bench 100D,12,12,0,276,20,13,30,324,600,0,324,167,2.22,16.7,0,0.13,0.54,1,0.0702,1,9/12/2022,9/12/2022,36575
100D,Ensamble 100D,Bench 100D,97,97,0,76,88,0,8,644,720,0,644,167,9.04,13.92,0,0.65,0.894444444,1,0.581388889,1,9/13/2022,9/13/2022,36576
100D,Ensamble 100D,Bench 100D,117,117,0,30,76,0,7,570,600,0,570,167,12.32,16.7,0,0.74,0.95,1,0.703,1,9/14/2022,9/14/2022,36577
100D,Ensamble 100D,Bench 100D,90,90,0,61,99,0,6,539,600,0,539,167,10.02,16.7,0,0.6,0.898333333,1,0.539,1,9/15/2022,9/15/2022,36578
100D,Ensamble 100D,Bench 100D,100,100,0,47,51,0,11,553,600,0,553,203,10.85,20.3,0,0.53,0.921666667,1,0.488483333,1,9/19/2022,9/19/2022,36632
100D,Ensamble 100D,Bench 100D,103,103,0,62,62,1,9,538,600,0,538,203,11.49,20.3,0,0.57,0.896666667,1,0.5111,1,9/20/2022,9/20/2022,36633
100D,Ensamble 100D,Bench 100D,74,74,0,59,58,1,10,541,600,0,541,203,8.21,20.3,0,0.4,0.901666667,1,0.360666667,1,9/21/2022,9/21/2022,36634
100D,Ensamble 100D,Bench 100D,117,117,0,34,41,0,14,566,600,0,566,203,12.4,20.3,0,0.61,0.943333333,1,0.575433333,1,9/22/2022,9/22/2022,36635
100D,Ensamble 100D,Bench 100D,79,79,0,14,52,0,9,466,480,0,466,203,10.17,25.38,0,0.4,0.970833333,1,0.388333333,1,9/23/2022,9/23/2022,36636
100D,Ensamble 100D,Bench 100D,106,106,0,49,156,0,4,611,660,0,611,238,10.41,21.64,0,0.48,0.925757576,1,0.444363636,2,9/26/2022,9/27/2022,36711
100D,Ensamble 100D,Bench 100D,165,165,0,34,108,0,7,805,839,0,805,238,12.3,17.02,0,0.72,0.959475566,1,0.690822408,2,9/27/2022,9/28/2022,36712
100D,Ensamble 100D,Bench 100D,192,192,0,28,91,0,9,811,839,0,811,238,14.2,17.02,0,0.83,0.966626937,1,0.802300358,2,9/28/2022,9/29/2022,36713
100D,Ensamble 100D,Bench 100D,38,38,0,35,47,0,11,504,539,0,504,238,4.52,26.49,0,0.17,0.935064935,1,0.158961039,2,9/29/2022,9/30/2022,36714
100D,Ensamble 100D,Bench 100D,74,74,0,20,64,0,5,340,360,0,340,95,13.06,15.83,0,0.82,0.944444444,1,0.774444444,2,9/30/2022,9/30/2022,36715
100D,Ensamble 100D,Bench 100D,153,153,0,29,153,0,5,811,840,0,811,275,11.32,19.64,0,0.58,0.96547619,1,0.55997619,2,10/3/2022,10/4/2022,36753
100D,Ensamble 100D,Bench 100D,127,127,0,33,121,0,5,627,660,0,627,275,12.15,25,0,0.49,0.95,1,0.4655,2,10/4/2022,10/5/2022,36754
100D,Ensamble 100D,Bench 100D,181,181,0,48,129,0,6,792,840,0,792,275,13.71,19.64,0,0.7,0.942857143,1,0.66,2,10/5/2022,10/6/2022,36755
100D,Ensamble 100D,Bench 100D,93,93,0,29,84,0,6,511,540,0,511,275,10.92,30.56,0,0.36,0.946296296,1,0.340666667,2,10/6/2022,10/7/2022,36756
100D,Ensamble 100D,Bench 100D,47,47,0,18,75,0,4,342,360,0,342,11,8.25,1.83,0,4.5,0.95,1,4.275,2,10/7/2022,10/7/2022,36782
100D,Ensamble 100D,Bench 100D,123,123,0,28,90,0,9,812,840,0,812,275,9.09,19.64,0,0.46,0.966666667,1,0.444666667,2,10/10/2022,10/11/2022,36760
100D,Ensamble 100D,Bench 100D,162,162,0,39,158,0,4,741,780,0,741,275,13.12,21.15,0,0.62,0.95,1,0.589,2,10/11/2022,10/12/2022,36761
100D,Ensamble 100D,Bench 100D,144,144,0,52,155,0,5,788,840,0,788,275,10.96,19.64,0,0.56,0.938095238,1,0.525333333,2,10/12/2022,10/13/2022,36762
100D,Ensamble 100D,Bench 100D,91,91,0,29,73,0,8,571,600,0,571,167,9.56,16.7,0,0.57,0.951666667,1,0.54245,1,10/13/2022,10/13/2022,36905
100D,Ensamble 100D,Bench 100D,100,100,0,13,41,0,13,527,540,0,527,275,11.39,30.56,0,0.37,0.975925926,1,0.361092593,2,10/13/2022,10/14/2022,36763
100D,Ensamble 100D,Bench 100D,66,66,0,33,14,2,25,327,360,0,327,95,12.11,15.83,0,0.76,0.908333333,1,0.690333333,2,10/14/2022,10/14/2022,36783
100D,Ensamble 100D,Bench 100D,54,54,0,23,25,0,18,427,450,0,427,122,7.59,16.27,0,0.47,0.948888889,1,0.445977778,3,10/16/2022,10/17/2022,36971
100D,Ensamble 100D,Bench 100D,76,76,0,25,57,0,7,425,450,0,425,122,10.73,16.27,0,0.66,0.944444444,1,0.623333333,3,10/17/2022,10/18/2022,36972
100D,Ensamble 100D,Bench 100D,86,86,0,20,30,0,15,430,450,0,430,122,12,16.27,0,0.74,0.955555556,1,0.707111111,3,10/18/2022,10/19/2022,36973
100D,Ensamble 100D,Bench 100D,60,60,0,17,17,1,26,433,450,0,433,122,8.31,16.27,0,0.51,0.962222222,1,0.490733333,3,10/19/2022,10/20/2022,36974
100D,Ensamble 100D,Bench 100D,81,81,0,12,12,1,37,438,450,0,438,122,11.1,16.27,0,0.68,0.973333333,1,0.661866667,3,10/20/2022,10/21/2022,36975
100D,Ensamble 100D,Bench 100D,68,68,0,8,31,0,14,442,450,0,442,122,9.23,16.27,102.6,0.57,0.982222222,1,0.559866667,3,10/21/2022,10/22/2022,36976
100D,Ensamble 100D,Bench 100D,52,52,0,5,23,0,19,445,450,0,445,122,7.01,16.27,0,0.43,0.988888889,1,0.425222222,3,10/23/2022,10/24/2022,37043
100D,Ensamble 100D,Bench 100D,79,79,0,5,32,0,14,445,450,0,445,122,10.65,16.27,0,0.65,0.988888889,1,0.642777778,3,10/24/2022,10/25/2022,37044
100D,Ensamble 100D,Bench 100D,39,39,0,4,16,0,28,446,450,0,446,122,5.25,16.27,0,0.32,0.991111111,1,0.317155556,3,10/25/2022,10/26/2022,37045
100D,Ensamble 100D,Bench 100D,82,82,0,45,31,1,14,405,450,0,405,122,12.15,16.27,0,0.75,0.9,1,0.675,3,10/26/2022,10/27/2022,37046
100D,Ensamble 100D,Bench 100D,95,95,0,0,3,0,150,450,450,0,450,122,12.67,16.27,0,0.78,1,1,0.78,3,10/27/2022,10/28/2022,37047
